query_id,N,config,n_retrieved,n_relevant_in_top5,precision_at_5
1,1000,c1,5,5,1.0
1,1000,c2,5,5,1.0
1,1000,c3,5,5,1.0
1,1000,c4,5,5,1.0
2,1000,c1,5,4,0.8
2,1000,c2,5,4,0.8
2,1000,c3,5,4,0.8
2,1000,c4,5,3,0.6
3,1000,c1,5,5,1.0
3,1000,c2,5,5,1.0
3,1000,c3,5,5,1.0
3,1000,c4,5,5,1.0
4,1000,c1,5,3,0.6
4,1000,c2,5,3,0.6
4,1000,c3,5,3,0.6
4,1000,c4,5,3,0.6
5,1000,c1,5,2,0.4
5,1000,c2,5,2,0.4
5,1000,c3,5,2,0.4
5,1000,c4,5,2,0.4
1,5000,c1,5,5,1.0
1,5000,c2,5,5,1.0
1,5000,c3,5,5,1.0
1,5000,c4,5,5,1.0
2,5000,c1,5,5,1.0
2,5000,c2,5,5,1.0
2,5000,c3,5,5,1.0
2,5000,c4,5,5,1.0
3,5000,c1,5,5,1.0
3,5000,c2,5,5,1.0
3,5000,c3,5,5,1.0
3,5000,c4,5,5,1.0
4,5000,c1,5,5,1.0
4,5000,c2,5,5,1.0
4,5000,c3,5,5,1.0
4,5000,c4,5,5,1.0
5,5000,c1,5,4,0.8
5,5000,c2,5,4,0.8
5,5000,c3,5,4,0.8
5,5000,c4,5,3,0.6
1,10000,c1,5,5,1.0
1,10000,c2,5,5,1.0
1,10000,c3,5,5,1.0
1,10000,c4,5,5,1.0
2,10000,c1,5,5,1.0
2,10000,c2,5,5,1.0
2,10000,c3,5,5,1.0
2,10000,c4,5,5,1.0
3,10000,c1,5,5,1.0
3,10000,c2,5,5,1.0
3,10000,c3,5,5,1.0
3,10000,c4,5,5,1.0
4,10000,c1,5,5,1.0
4,10000,c2,5,5,1.0
4,10000,c3,5,5,1.0
4,10000,c4,5,5,1.0
5,10000,c1,5,5,1.0
5,10000,c2,5,5,1.0
5,10000,c3,5,5,1.0
5,10000,c4,5,5,1.0
1,25000,c1,5,5,1.0
1,25000,c2,5,5,1.0
1,25000,c3,5,5,1.0
1,25000,c4,5,5,1.0
2,25000,c1,5,5,1.0
2,25000,c2,5,5,1.0
2,25000,c3,5,5,1.0
2,25000,c4,5,5,1.0
3,25000,c1,5,5,1.0
3,25000,c2,5,5,1.0
3,25000,c3,5,5,1.0
3,25000,c4,5,5,1.0
4,25000,c1,5,5,1.0
4,25000,c2,5,5,1.0
4,25000,c3,5,5,1.0
4,25000,c4,5,5,1.0
5,25000,c1,5,4,0.8
5,25000,c2,5,4,0.8
5,25000,c3,5,4,0.8
5,25000,c4,5,4,0.8
1,50000,c1,5,5,1.0
1,50000,c2,5,5,1.0
1,50000,c3,5,5,1.0
1,50000,c4,5,5,1.0
2,50000,c1,5,5,1.0
2,50000,c2,5,5,1.0
2,50000,c3,5,5,1.0
2,50000,c4,5,5,1.0
3,50000,c1,5,5,1.0
3,50000,c2,5,5,1.0
3,50000,c3,5,5,1.0
3,50000,c4,5,5,1.0
4,50000,c1,5,5,1.0
4,50000,c2,5,5,1.0
4,50000,c3,5,5,1.0
4,50000,c4,5,5,1.0
5,50000,c1,5,5,1.0
5,50000,c2,5,5,1.0
5,50000,c3,5,5,1.0
5,50000,c4,5,5,1.0
