config,N,k,query_id,repeticao,t_ingestao_ms,t_indice_ms,t_consulta_ms,t_total_ms,memoria_pico_mb,n_comparacoes,n_resultados,resultado_vazio
c1,5000,5,1,1,13348.671,0.0,4575.601,17924.273,0.3982,1470730,5,0
c1,5000,5,1,2,13348.671,0.0,4640.321,17988.992,0.3982,1470730,5,0
c1,5000,5,1,3,13348.671,0.0,4538.798,17887.469,0.3982,1470730,5,0
c1,5000,5,2,1,13348.671,0.0,5562.717,18911.388,0.4029,1755128,5,0
c1,5000,5,2,2,13348.671,0.0,5445.14,18793.811,0.4028,1755128,5,0
c1,5000,5,2,3,13348.671,0.0,5425.377,18774.048,0.4028,1755128,5,0
c1,5000,5,3,1,13348.671,0.0,2331.065,15679.737,0.3881,753283,5,0
c1,5000,5,3,2,13348.671,0.0,2319.504,15668.176,0.3881,753283,5,0
c1,5000,5,3,3,13348.671,0.0,2324.823,15673.495,0.3881,753283,5,0
c1,5000,5,4,1,13348.671,0.0,12792.923,26141.595,0.4399,4066228,5,0
c1,5000,5,4,2,13348.671,0.0,12856.814,26205.485,0.4399,4066228,5,0
c1,5000,5,4,3,13348.671,0.0,12693.602,26042.274,0.4399,4066228,5,0
c1,5000,5,5,1,13348.671,0.0,6627.76,19976.431,0.4073,2131120,5,0
c1,5000,5,5,2,13348.671,0.0,6690.407,20039.078,0.4073,2131120,5,0
c1,5000,5,5,3,13348.671,0.0,6751.891,20100.563,0.4073,2131120,5,0
c2,5000,5,1,1,13348.671,671.073,178.709,14198.453,0.0345,66336,5,0
c2,5000,5,1,2,13348.671,671.073,171.042,14190.787,0.0345,66336,5,0
c2,5000,5,1,3,13348.671,671.073,181.275,14201.019,0.0345,66336,5,0
c2,5000,5,2,1,13348.671,671.073,404.273,14424.017,0.0664,148230,5,0
c2,5000,5,2,2,13348.671,671.073,393.289,14413.034,0.0664,148230,5,0
c2,5000,5,2,3,13348.671,671.073,386.244,14405.989,0.0664,148230,5,0
c2,5000,5,3,1,13348.671,671.073,34.567,14054.312,0.016,23343,5,0
c2,5000,5,3,2,13348.671,671.073,34.87,14054.615,0.016,23343,5,0
c2,5000,5,3,3,13348.671,671.073,34.941,14054.686,0.016,23343,5,0
c2,5000,5,4,1,13348.671,671.073,1962.142,15981.887,0.1347,631864,5,0
c2,5000,5,4,2,13348.671,671.073,1994.669,16014.414,0.1347,631864,5,0
c2,5000,5,4,3,13348.671,671.073,1940.521,15960.265,0.1347,631864,5,0
c2,5000,5,5,1,13348.671,671.073,381.419,14401.163,0.0664,134998,5,0
c2,5000,5,5,2,13348.671,671.073,369.883,14389.628,0.0664,134998,5,0
c2,5000,5,5,3,13348.671,671.073,375.644,14395.388,0.0664,134998,5,0
c3,5000,5,1,1,13348.671,671.073,24.185,14043.93,0.0367,6235,5,0
c3,5000,5,1,2,13348.671,671.073,21.866,14041.61,0.0365,6235,5,0
c3,5000,5,1,3,13348.671,671.073,23.994,14043.738,0.0624,6235,5,0
c3,5000,5,2,1,13348.671,671.073,30.023,14049.768,0.0992,7921,5,0
c3,5000,5,2,2,13348.671,671.073,32.107,14051.851,0.0664,7921,5,0
c3,5000,5,2,3,13348.671,671.073,26.302,14046.047,0.0685,7921,5,0
c3,5000,5,3,1,13348.671,671.073,6.339,14026.083,0.0254,2504,5,0
